# amode = WF, mode = full
# 1x1x1x1x5 array
# nruns = 5, ltot = 100000, Npop = 50, sdata = 1
mu            sigma           A            r           Finit           Ffin
2.0000e-01    2.0000e-02    1.0000e+00    3.0000e-01    5.0829e-01    9.4136e-01    
2.0000e-01    2.0000e-02    1.0000e+00    3.0000e-01    5.0829e-01    8.9552e-01    
2.0000e-01    2.0000e-02    1.0000e+00    3.0000e-01    5.0829e-01    8.9089e-01    
2.0000e-01    2.0000e-02    1.0000e+00    3.0000e-01    5.0829e-01    9.6173e-01    
2.0000e-01    2.0000e-02    1.0000e+00    3.0000e-01    5.0829e-01    9.5386e-01    
